Term	uk	features	countries	made	water	cities	man	landscape	towns	villages	townscapes	regions	adults	counties	inland	natural	transport	religious	military	continents	actions	groups	coasts	animals	seascapes	bridges	viaducts	mammals	motions	periods	postures	styles	ruins	weather	residential	fine	agriculture	fishing	named	landmarks	music	children	land	expressive	qualities	shakespeare	clothing	inscriptions	trees	day	effects	literature	times	personal	arts	phenomena	universal	public	domestic	industrial	imagery	classical	entertainment	containers	vessels	municipal	activities	recreational	nudes	individuals	emotions	human	london	ceremonial	astronomy	art	bible	gardening	functions	testament	myths	processes	social	design	works	weapons	furnishings	matter	printed	monuments	gods	reading	flowers	heroes	portraits	writing	plants	body	politics	scientific	concepts	garden	society	dress	structures	conditions	formal	diseases	birth	rank	commercial	death	royalty	birds	trading	old	measuring	machinery	tools	crafts	family	heating	drinking	lighting	eating	nations	relationships	sex	crime	punishment	places	comment	sport	aquatic	fish	fantastic	life	literary	service	ethnicity	miscellaneous	workspaces
relationships	30	16	12	8	12	8	8	12	8	8	8	9	20	8	9	4	6	12	10	3	16	2	4	10	4	1	1	8	6	1	6	1	2	2	0	0	6	6	0	0	1	1	3	6	5	2	3	0	1	1	3	2	1	3	1	0	5	0	0	2	2	1	2	3	3	0	2	2	5	0	5	5	1	2	5	0	1	3	4	1	1	4	0	0	0	2	2	0	0	0	1	0	3	1	0	0	3	0	0	1	3	0	0	0	0	3	0	3	1	0	3	1	0	0	3	1	1	0	0	0	2	0	2	0	2	0	0	20	1	1	0	0	0	0	0	1	0	0	0	1	0	0
sex	30	16	12	8	12	8	8	12	8	8	8	9	20	8	9	4	6	12	10	3	16	2	4	10	4	1	1	8	6	1	6	1	2	2	0	0	6	6	0	0	1	1	3	6	5	2	3	0	1	1	3	2	1	3	1	0	5	0	0	2	2	1	2	3	3	0	2	2	5	0	5	5	1	2	5	0	1	3	4	1	1	4	0	0	0	2	2	0	0	0	1	0	3	1	0	0	3	0	0	1	3	0	0	0	0	3	0	3	1	0	3	1	0	0	3	1	1	0	0	0	2	0	2	0	2	0	20	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0
crime	8	6	4	6	12	2	6	14	2	2	6	3	21	2	10	6	3	17	1	1	28	11	2	23	2	3	3	1	10	0	10	0	0	3	0	0	5	5	1	0	1	1	1	6	8	17	1	1	1	0	1	17	0	1	1	6	5	1	0	0	11	2	2	2	2	0	1	1	13	1	7	7	1	1	1	0	2	3	5	2	1	5	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	3	0	0	0	0	4	1	4	4	0	1	4	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	27	0	0	0	0	0	7	0	4	1	1	1	0
punishment	8	6	4	6	12	2	6	14	2	2	6	3	21	2	10	6	3	17	1	1	28	11	2	23	2	3	3	1	10	0	10	0	0	3	0	0	5	5	1	0	1	1	1	6	8	17	1	1	1	0	1	17	0	1	1	6	5	1	0	0	11	2	2	2	2	0	1	1	13	1	7	7	1	1	1	0	2	3	5	2	1	5	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	3	0	0	0	0	4	1	4	4	0	1	4	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	27	0	0	0	0	0	0	7	0	4	1	1	1	0
places	12	16	13	9	1	12	9	3	12	12	9	0	4	0	0	0	1	2	1	13	2	3	0	1	0	0	0	1	1	6	1	6	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
comment	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	1	1	0	0	1	0	0	0	1	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
sport	84	30	23	8	36	21	8	18	21	21	8	22	20	21	22	23	15	6	10	1	4	5	6	12	6	8	8	10	3	4	3	4	8	5	1	0	11	11	1	0	0	6	1	0	0	0	1	0	5	2	1	0	2	1	0	4	0	0	1	0	0	0	0	4	4	0	2	2	0	1	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	0	0	1	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aquatic	3	1	1	1	2	1	1	0	1	1	1	1	1	1	0	0	2	1	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0
fish	3	1	1	1	2	1	1	0	1	1	1	1	1	1	0	0	2	1	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0
fantastic	1	2	1	1	6	1	1	10	1	1	1	0	11	0	4	3	3	10	0	1	16	4	1	24	1	0	0	2	3	0	3	0	0	2	0	1	2	2	0	0	1	0	1	4	3	9	0	0	0	1	0	9	1	0	1	3	5	0	0	0	6	5	0	0	0	0	0	0	7	0	3	3	0	0	0	0	1	1	3	1	4	3	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	6	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	7	7	0	0	0	0	0	0	0	0	0	0	0	0
life	3	1	1	1	2	1	1	0	1	1	1	1	1	1	0	0	2	1	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
literary	3	1	1	0	3	1	0	10	1	1	0	1	12	1	3	4	0	14	1	0	12	3	2	0	2	1	1	0	8	0	8	0	0	2	0	1	0	0	3	0	2	0	0	3	4	11	1	1	1	1	1	11	1	1	2	4	2	1	0	0	11	1	2	0	0	0	0	0	4	3	4	4	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	1	1	0	1	1	2	1	1	1	2	0	2	0	2	0	1	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	4	0	0	0	0	0	0	0	0	1	0	2	0
service	3	1	1	1	1	1	1	0	1	1	1	1	4	1	1	1	0	3	2	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	1	2	0	0	0	2	1	0	2	0	1	1	4	0	0	2	0	1	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	2	1	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0
ethnicity	5	8	4	4	0	1	4	2	1	1	4	1	8	0	0	2	2	4	5	3	9	6	2	12	2	2	2	5	2	0	2	0	2	2	0	0	0	0	1	0	1	4	2	2	3	5	2	0	1	0	2	4	0	2	1	0	2	0	0	0	0	2	2	2	2	0	1	1	3	1	3	3	1	2	2	0	2	0	3	2	0	3	2	0	0	3	1	1	1	0	0	1	0	0	0	1	0	2	2	1	2	0	2	0	0	2	0	2	5	1	1	5	1	2	1	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
miscellaneous	31	15	9	7	17	6	7	3	6	6	7	9	10	8	8	9	9	5	3	0	4	9	1	2	1	1	1	2	1	3	1	3	0	1	0	0	0	0	0	0	0	2	0	1	2	2	2	1	0	2	2	2	2	2	0	2	2	4	0	3	3	1	0	2	2	3	3	3	1	0	1	1	1	0	0	0	0	0	2	0	1	2	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	1	2	1	0	1	0	0	0	1	0	0	0	5	0	0	0	5	0	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0
workspaces	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
