Term	uk	features	countries	made	water	cities	man	landscape	towns	villages	townscapes	regions	adults	counties	inland	natural	transport	religious	military	continents	actions	groups	coasts	animals	seascapes	bridges	viaducts	mammals	motions	periods	postures	styles	ruins	weather	residential	fine	agriculture	fishing	named	landmarks	music	children	land	expressive	qualities	shakespeare	clothing	inscriptions	trees	day	effects	literature	times	personal	arts	phenomena	universal	public	domestic	industrial	imagery	classical	entertainment	containers	vessels	municipal	activities	recreational	nudes	individuals	emotions	human	london	ceremonial	astronomy	art	bible	gardening	functions	testament	myths	processes	social	design	works	weapons	furnishings	matter	printed	monuments	gods	reading	flowers	heroes	portraits	writing	plants	body	politics	scientific	concepts	garden	society	dress	structures	conditions	formal	diseases	birth	rank	commercial	death	royalty	birds	trading	old	measuring	machinery	tools	crafts	family	heating	drinking	lighting	eating	nations	relationships	sex	crime	punishment	places	comment	sport	aquatic	fish	fantastic	life	literary	service	ethnicity	miscellaneous	workspaces
townscapes	1867	3015	1146	2232	860	984	2232	1223	984	984	0	287	433	256	504	339	426	301	315	862	81	218	419	104	419	333	333	82	35	130	35	130	129	65	82	14	64	64	5	8	24	39	70	27	11	56	12	72	46	45	12	56	45	12	15	26	24	47	9	54	14	0	20	35	35	46	23	23	10	4	7	7	22	9	26	0	8	31	13	8	0	13	1	0	0	14	8	11	11	20	0	11	9	0	1	11	9	3	5	6	13	11	4	3	11	9	4	9	5	1	20	5	1	9	20	5	5	12	12	8	7	1	7	1	7	3	8	8	6	6	9	0	8	1	1	1	1	0	1	4	7	0
regions	2421	600	787	311	418	662	311	396	662	662	287	0	301	723	225	208	240	145	257	4	105	143	174	125	174	85	85	99	48	101	48	101	90	83	62	51	74	74	13	24	60	42	47	40	18	1	16	8	32	50	16	1	50	16	49	22	20	21	68	44	7	1	21	33	33	20	40	40	3	4	9	9	43	13	25	9	0	30	10	0	0	10	1	7	7	13	41	14	14	10	0	14	14	0	4	14	14	2	4	3	13	52	4	10	52	11	9	11	3	1	19	3	1	17	19	0	2	10	10	8	4	12	8	12	8	9	9	9	3	3	0	0	22	1	1	0	1	1	1	1	9	0
adults	1235	800	571	454	548	454	454	387	454	454	433	301	0	275	255	216	383	237	190	279	274	426	230	212	230	108	108	149	151	89	151	89	72	95	55	55	111	111	38	21	68	60	90	75	36	102	52	52	47	48	52	99	48	52	57	37	51	36	68	37	50	21	37	57	57	32	47	47	49	27	25	25	14	20	39	13	16	43	34	16	13	34	17	9	9	27	38	21	21	13	10	21	17	10	21	21	17	50	9	9	29	21	7	11	21	29	11	26	12	11	25	12	11	21	25	8	7	15	15	10	14	13	16	13	16	9	20	20	21	21	4	6	20	1	1	11	1	12	4	8	10	2
counties	2282	519	723	280	367	660	280	370	660	660	256	723	275	0	190	171	221	136	251	0	98	129	169	119	169	65	65	94	44	99	44	99	86	79	51	48	72	72	11	24	55	38	44	39	15	1	11	7	28	50	11	1	50	11	45	20	20	20	67	40	7	1	18	29	29	19	37	37	3	2	8	8	0	13	25	8	0	29	8	0	0	8	1	7	7	13	40	14	14	8	0	14	13	0	2	14	13	1	3	2	13	46	3	0	46	11	7	11	1	1	16	1	1	16	16	0	2	5	5	8	4	12	8	12	8	0	8	8	2	2	0	0	21	1	1	0	1	1	1	0	8	0
inland	1295	1042	575	524	1274	441	524	681	441	441	504	225	255	190	0	442	309	123	188	350	58	98	36	105	36	239	239	70	24	52	24	52	59	41	66	13	31	31	0	20	21	32	20	21	9	42	6	7	51	66	6	42	66	6	14	54	13	15	4	30	10	4	9	13	13	14	33	33	12	0	6	6	31	3	31	2	1	9	6	1	2	6	0	0	0	3	3	2	2	8	1	2	6	1	0	2	6	2	2	0	8	36	2	0	36	9	3	7	1	0	10	1	0	17	10	1	0	6	6	2	4	0	5	0	5	0	9	9	10	10	0	0	22	0	0	4	0	3	1	0	8	0
natural	1354	988	551	363	664	374	363	388	374	374	339	208	216	171	442	0	250	101	176	345	69	97	98	87	98	142	142	62	20	38	20	38	62	51	37	6	31	31	2	24	11	29	28	32	15	46	4	9	33	42	4	46	42	4	6	106	14	14	3	28	14	8	5	16	16	13	21	21	7	2	12	12	29	6	22	1	0	13	10	0	2	10	0	0	0	13	4	0	0	7	2	0	3	2	1	0	3	5	3	0	9	7	3	2	7	11	3	10	2	0	12	2	0	11	12	0	0	5	5	9	5	1	3	1	3	2	4	4	6	6	0	0	23	0	0	3	0	4	1	2	9	0
transport	1101	746	482	445	1099	387	445	296	387	387	426	240	383	221	309	250	0	92	182	242	57	201	354	117	354	100	100	97	19	43	19	43	35	73	54	8	65	65	5	19	12	27	139	22	10	30	10	27	11	34	10	30	34	10	8	29	16	26	2	44	2	6	7	35	35	26	25	25	1	2	6	6	13	12	19	1	1	31	11	1	4	11	0	1	1	22	6	11	11	6	3	11	4	3	1	11	4	2	2	0	15	6	3	0	6	10	4	10	3	0	20	3	0	10	20	1	0	9	9	18	5	0	5	0	5	0	6	6	3	3	1	0	15	2	2	3	2	0	0	2	9	0
religious	740	606	415	320	183	359	320	233	359	359	301	145	237	136	123	101	92	0	76	271	123	141	55	106	55	63	63	66	56	121	56	121	74	40	32	20	39	39	11	19	24	34	32	41	19	77	16	21	15	18	16	76	18	16	19	25	81	25	2	11	98	7	11	12	12	22	14	14	32	8	15	15	6	41	15	4	13	18	22	13	4	22	2	3	3	8	9	12	12	17	3	12	9	3	2	12	9	8	8	10	22	2	5	3	2	18	4	14	4	2	11	4	2	12	11	8	5	10	10	1	6	3	4	3	4	1	12	12	17	17	2	0	6	1	1	10	1	14	3	4	5	0
military	1116	613	473	341	327	421	341	531	421	421	315	257	190	251	188	176	182	76	0	218	66	99	128	76	128	89	89	67	19	88	19	88	151	30	30	10	34	34	10	26	19	22	43	32	13	21	8	22	16	23	8	21	23	8	11	15	3	11	1	31	0	5	11	19	19	9	26	26	3	10	11	11	2	11	21	1	0	18	11	0	0	11	3	0	0	29	6	4	4	0	0	4	5	0	2	4	5	4	4	3	3	10	4	2	10	9	2	9	3	3	15	3	3	3	15	0	1	3	3	14	5	0	8	0	8	2	10	10	1	1	1	0	10	0	0	0	0	1	2	5	3	0
continents	1358	1554	1275	890	557	1002	890	651	1002	1002	862	4	279	0	350	345	242	271	218	0	38	134	193	53	193	197	197	47	22	120	22	120	83	33	75	11	8	8	6	28	14	14	35	9	4	81	11	37	38	23	11	81	23	11	10	17	6	48	8	12	6	6	19	17	17	48	7	7	2	4	1	1	0	7	19	3	0	3	6	0	1	6	1	2	2	10	2	1	1	24	1	1	4	1	0	1	4	6	2	9	0	14	2	4	14	0	3	0	3	1	5	3	1	3	5	0	8	2	2	2	1	2	5	2	5	4	3	3	1	1	13	0	1	0	0	1	0	0	0	3	0	0
actions	361	170	140	83	85	112	83	108	112	112	81	105	274	98	58	69	57	123	66	38	0	128	47	153	47	12	12	66	218	20	218	20	7	30	5	33	29	29	23	2	41	43	30	137	42	71	35	7	12	15	35	68	15	35	36	26	52	10	55	15	66	20	21	24	24	9	33	33	68	17	39	39	4	15	30	7	21	10	62	21	12	62	10	4	4	16	45	13	13	1	9	13	8	9	10	13	8	9	7	9	31	5	6	3	5	32	3	28	8	9	12	8	9	5	12	10	5	10	10	0	15	8	14	8	14	3	16	16	28	28	2	1	4	0	0	16	0	12	1	9	4	0
groups	593	389	274	224	251	225	224	141	225	225	218	143	426	129	98	97	201	141	99	134	128	0	118	94	118	41	41	54	60	54	60	54	19	41	26	21	30	30	11	6	37	38	48	39	9	44	24	19	8	22	24	44	22	24	22	15	36	24	26	15	34	7	22	22	22	22	28	28	16	6	9	9	11	19	15	2	7	10	19	7	2	19	3	1	1	13	10	6	6	8	2	6	7	2	2	6	7	8	7	7	14	8	5	4	8	13	0	13	9	3	19	9	3	16	19	3	5	12	12	4	5	4	12	4	12	3	2	2	11	11	3	0	5	0	0	4	0	3	2	6	9	0
coasts	728	587	367	429	361	288	429	274	288	288	419	174	230	169	36	98	354	55	128	193	47	118	0	43	879	22	22	27	19	12	19	12	22	127	22	5	47	47	1	10	7	15	29	22	13	21	4	18	6	53	4	21	53	4	4	11	21	37	2	20	17	7	3	22	22	37	6	6	10	0	9	9	0	7	21	1	6	22	4	6	6	4	0	1	1	9	2	8	8	2	5	8	2	5	0	8	2	3	1	0	15	0	1	0	0	14	4	13	3	0	9	3	0	6	9	5	0	6	6	8	4	0	2	0	2	0	4	4	2	2	0	0	6	1	1	1	1	2	0	2	1	0
animals	452	216	177	121	151	123	121	181	123	123	104	125	212	119	105	87	117	106	76	53	153	94	43	0	43	47	47	228	44	38	44	38	51	40	24	14	72	72	9	17	21	45	71	43	12	62	19	4	15	20	19	61	20	19	14	23	41	13	13	23	29	17	10	30	30	13	34	34	34	4	11	11	5	8	27	1	12	34	24	12	9	24	4	1	1	23	12	6	6	9	3	6	12	3	1	6	12	8	2	3	31	8	2	1	8	16	1	16	16	1	11	16	1	45	11	11	2	7	7	9	2	2	4	2	4	1	10	10	23	23	1	3	12	3	3	24	3	0	0	12	2	3
seascapes	728	587	367	429	361	288	429	274	288	288	419	174	230	169	36	98	354	55	128	193	47	118	879	43	0	22	22	27	19	12	19	12	22	127	22	5	47	47	1	10	7	15	29	22	13	21	4	18	6	53	4	21	53	4	4	11	21	37	2	20	17	7	3	22	22	37	6	6	10	0	9	9	0	7	21	1	6	22	4	6	6	4	0	1	1	9	2	8	8	2	5	8	2	5	0	8	2	3	1	0	15	0	1	0	0	14	4	13	3	0	9	3	0	6	9	5	0	6	6	8	4	0	2	0	2	0	4	4	2	2	0	0	6	1	1	1	1	2	0	2	1	0
bridges	532	562	280	339	321	231	339	259	231	231	333	85	108	65	239	142	100	63	89	197	12	41	22	47	22	0	460	40	6	33	6	33	32	10	28	3	16	16	0	6	5	11	18	3	0	18	1	10	14	11	1	18	11	1	3	11	2	9	2	18	2	3	2	5	5	8	5	5	0	0	0	0	16	1	8	0	0	9	1	0	0	1	0	0	0	10	0	0	0	8	0	0	0	0	0	0	0	2	2	0	1	6	1	2	6	0	0	0	2	0	4	2	0	5	4	0	0	5	5	10	1	0	0	0	0	2	1	1	3	3	0	0	8	0	0	0	0	1	1	2	1	0
viaducts	532	562	280	339	321	231	339	259	231	231	333	85	108	65	239	142	100	63	89	197	12	41	22	47	22	460	0	40	6	33	6	33	32	10	28	3	16	16	0	6	5	11	18	3	0	18	1	10	14	11	1	18	11	1	3	11	2	9	2	18	2	3	2	5	5	8	5	5	0	0	0	0	16	1	8	0	0	9	1	0	0	1	0	0	0	10	0	0	0	8	0	0	0	0	0	0	0	2	2	0	1	6	1	2	6	0	0	0	2	0	4	2	0	5	4	0	0	5	5	10	1	0	0	0	0	2	1	1	3	3	0	0	8	0	0	0	0	1	1	2	1	0
mammals	363	166	145	95	104	102	95	132	102	102	82	99	149	94	70	62	97	66	67	47	66	54	27	228	27	40	40	0	21	30	21	30	44	28	17	7	62	62	6	13	11	31	63	22	3	28	15	3	14	13	15	28	13	15	7	10	16	11	7	19	7	7	7	18	18	11	19	19	6	3	2	2	4	5	16	1	4	28	11	4	2	11	2	1	1	17	10	4	4	7	0	4	9	0	1	4	9	6	1	2	11	3	1	1	3	6	1	6	8	0	11	8	0	10	11	3	2	4	4	9	2	2	4	2	4	1	8	8	1	1	1	2	10	1	1	2	1	0	0	5	2	2
motions	158	70	67	35	33	56	35	43	56	56	35	48	151	44	24	20	19	56	19	22	218	60	19	44	19	6	6	21	0	10	155	10	0	16	3	24	19	19	11	0	27	15	10	40	18	27	20	5	8	7	20	26	7	20	26	8	25	2	35	4	32	9	12	11	11	2	13	13	34	8	15	15	1	4	15	5	9	8	15	9	6	15	4	3	3	6	25	7	7	1	5	7	5	5	6	7	5	3	3	3	14	4	3	3	4	13	3	10	3	3	3	3	3	1	3	4	1	3	3	0	6	4	7	4	7	3	6	6	10	10	1	1	3	0	0	3	0	8	0	2	1	0
periods	438	256	221	137	75	197	137	116	197	197	130	101	89	99	52	38	43	121	88	120	20	54	12	38	12	33	33	30	10	0	10	279	80	9	38	6	15	15	2	7	11	15	20	5	4	22	8	19	6	9	8	22	9	8	7	6	8	17	3	2	7	1	12	3	3	17	7	7	1	2	0	0	2	0	10	1	0	8	5	0	0	5	1	0	0	0	4	0	0	12	0	0	1	0	2	0	1	2	1	2	1	14	1	0	14	0	4	0	1	1	4	1	1	8	4	0	2	4	4	1	1	1	0	1	0	0	1	1	0	0	6	0	4	0	0	0	0	0	0	0	3	0
postures	158	70	67	35	33	56	35	43	56	56	35	48	151	44	24	20	19	56	19	22	218	60	19	44	19	6	6	21	155	10	0	10	0	16	3	24	19	19	11	0	27	15	10	40	18	27	20	5	8	7	20	26	7	20	26	8	25	2	35	4	32	9	12	11	11	2	13	13	34	8	15	15	1	4	15	5	9	8	15	9	6	15	4	3	3	6	25	7	7	1	5	7	5	5	6	7	5	3	3	3	14	4	3	3	4	13	3	10	3	3	3	3	3	1	3	4	1	3	3	0	6	4	7	4	7	3	6	6	10	10	1	1	3	0	0	3	0	8	0	2	1	0
styles	438	256	221	137	75	197	137	116	197	197	130	101	89	99	52	38	43	121	88	120	20	54	12	38	12	33	33	30	10	279	10	0	80	9	38	6	15	15	2	7	11	15	20	5	4	22	8	19	6	9	8	22	9	8	7	6	8	17	3	2	7	1	12	3	3	17	7	7	1	2	0	0	2	0	10	1	0	8	5	0	0	5	1	0	0	0	4	0	0	12	0	0	1	0	2	0	1	2	1	2	1	14	1	0	14	0	4	0	1	1	4	1	1	8	4	0	2	4	4	1	1	1	0	1	0	0	1	1	0	0	6	0	4	0	0	0	0	0	0	0	3	0
ruins	390	243	171	150	84	138	150	189	138	138	129	90	72	86	59	62	35	74	151	83	7	19	22	51	22	32	32	44	0	80	0	80	0	16	7	2	23	23	0	21	2	11	10	5	1	20	0	6	12	9	0	20	9	0	2	5	5	8	0	2	3	0	4	12	12	8	6	6	2	0	1	1	0	0	7	0	2	9	0	2	0	0	0	0	0	3	0	0	0	7	0	0	3	0	0	0	3	0	0	0	2	2	0	2	2	4	0	4	2	0	0	2	0	3	0	2	0	0	0	2	0	0	0	0	0	2	2	2	0	0	4	0	8	0	0	0	0	0	0	2	0	0
weather	296	128	116	75	102	78	75	123	78	78	65	83	95	79	41	51	73	40	30	33	30	41	127	40	127	10	10	28	16	9	16	9	16	0	4	4	31	31	3	10	4	12	12	7	9	19	5	3	7	26	5	19	26	5	4	7	20	10	2	5	10	3	0	13	13	10	5	5	7	3	8	8	2	4	12	1	5	13	4	5	2	4	0	0	0	1	0	7	7	6	1	7	1	1	2	7	1	2	0	0	19	0	0	0	0	14	1	13	4	0	3	4	0	4	3	5	0	2	2	0	1	0	0	0	0	0	2	2	3	3	0	0	5	1	1	2	1	2	0	2	1	0
residential	277	172	137	89	105	111	89	102	111	111	82	62	55	51	66	37	54	32	30	75	5	26	22	24	22	28	28	17	3	38	3	38	7	4	0	5	6	6	0	7	7	5	15	1	2	13	2	4	8	8	2	13	8	2	5	1	2	2	1	3	1	0	2	5	5	2	6	6	0	0	0	0	10	0	11	1	0	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0	4	0	0	0	4	0	0	4	1	17	0	0	17	1	2	1	0	0	1	0	0	3	1	0	4	2	2	1	0	0	2	0	2	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0
fine	163	43	61	15	18	56	15	20	56	56	14	51	55	48	13	6	8	20	10	11	33	21	5	14	5	3	3	7	24	6	24	6	2	4	5	0	1	1	22	1	82	6	3	7	5	4	9	2	4	5	9	3	5	9	79	0	3	2	33	0	4	1	23	3	3	2	8	8	4	4	5	5	2	1	6	23	4	1	1	4	1	1	3	18	18	3	23	5	5	3	1	5	6	1	4	5	6	0	1	1	1	12	1	1	12	4	0	2	0	3	0	0	3	4	0	2	0	0	0	0	4	8	1	8	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
agriculture	250	103	81	68	63	73	68	64	73	73	64	74	111	72	31	31	65	39	34	8	29	30	47	72	47	16	16	62	19	15	19	15	23	31	6	1	0	161	1	4	3	5	33	8	1	4	5	1	4	1	5	4	1	5	1	4	15	7	3	12	4	2	2	30	30	7	0	0	8	1	1	1	1	0	9	0	1	70	1	1	1	1	0	0	0	7	2	15	15	0	0	15	7	0	1	15	7	0	0	0	11	1	0	1	1	2	0	2	1	0	4	1	0	2	4	1	0	4	4	8	1	1	0	1	0	1	6	6	5	5	0	0	11	2	2	2	2	0	0	0	0	4
fishing	250	103	81	68	63	73	68	64	73	73	64	74	111	72	31	31	65	39	34	8	29	30	47	72	47	16	16	62	19	15	19	15	23	31	6	1	161	0	1	4	3	5	33	8	1	4	5	1	4	1	5	4	1	5	1	4	15	7	3	12	4	2	2	30	30	7	0	0	8	1	1	1	1	0	9	0	1	70	1	1	1	1	0	0	0	7	2	15	15	0	0	15	7	0	1	15	7	0	0	0	11	1	0	1	1	2	0	2	1	0	4	1	0	2	4	1	0	4	4	8	1	1	0	1	0	1	6	6	5	5	0	0	11	2	2	2	2	0	0	0	0	4
named	37	13	17	5	1	15	5	11	15	15	5	13	38	11	0	2	5	11	10	6	23	11	1	9	1	0	0	6	11	2	11	2	0	3	0	22	1	1	0	0	9	2	4	7	4	4	8	4	1	1	8	4	1	8	13	2	1	2	10	1	3	1	6	1	1	0	4	4	4	28	4	4	0	2	1	15	1	1	3	1	0	3	10	14	14	4	7	2	2	1	0	2	4	0	22	2	4	3	3	1	1	2	3	3	2	1	0	1	0	10	0	0	10	0	0	0	0	0	0	0	2	3	0	3	0	2	0	0	1	1	0	0	1	0	0	0	0	3	2	1	0	0
landmarks	129	37	52	60	33	10	60	31	10	10	8	24	21	24	20	24	19	19	26	28	2	6	10	17	10	6	6	13	0	7	0	7	21	10	7	1	4	4	0	0	2	6	6	2	0	3	1	2	0	3	1	3	3	1	1	5	3	5	1	2	2	0	1	2	2	5	3	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
music	192	53	72	26	28	63	26	29	63	63	24	60	68	55	21	11	12	24	19	14	41	37	7	21	7	5	5	11	27	11	27	11	2	4	7	82	3	3	9	2	0	13	5	10	9	5	9	0	5	5	9	4	5	9	87	0	3	3	33	0	3	1	45	5	5	2	15	15	3	4	9	9	3	2	9	9	3	2	2	3	1	2	1	5	5	4	22	6	6	2	1	6	5	1	4	6	5	0	4	1	2	13	3	2	13	5	0	3	1	1	1	1	1	6	1	2	0	1	1	0	7	6	2	6	2	2	1	1	1	1	0	0	0	0	0	1	0	2	1	1	0	0
children	154	79	55	45	46	40	45	38	40	40	39	42	60	38	32	29	27	34	22	14	43	38	15	45	15	11	11	31	15	15	15	15	11	12	5	6	5	5	2	6	13	0	13	14	5	5	10	2	4	4	10	5	4	10	7	3	8	6	3	4	5	1	8	11	11	5	24	24	3	2	5	5	3	3	9	1	6	5	9	6	1	9	2	0	0	2	4	3	3	0	1	3	2	1	1	3	2	4	2	4	3	0	1	1	0	3	0	3	3	1	3	3	1	6	3	3	2	5	5	1	10	0	2	0	2	1	1	1	1	1	0	1	6	0	0	0	0	0	1	4	2	0
land	188	115	82	76	47	62	76	54	62	62	70	47	90	44	20	28	139	32	43	35	30	48	29	71	29	18	18	63	10	20	10	20	10	12	15	3	33	33	4	6	5	13	0	8	1	9	7	8	2	4	7	9	4	7	4	2	1	4	0	15	1	1	3	18	18	4	10	10	1	2	1	1	3	2	5	0	1	20	7	1	0	7	0	0	0	11	3	9	9	0	0	9	4	0	1	9	4	1	1	0	1	0	1	0	0	3	0	3	3	0	4	3	0	2	4	1	0	2	2	9	0	0	3	0	3	0	3	3	1	1	0	0	1	0	0	1	0	0	0	2	0	0
expressive	145	64	49	29	35	40	29	36	40	40	27	40	75	39	21	32	22	41	32	9	137	39	22	43	22	3	3	22	40	5	40	5	5	7	1	7	8	8	7	2	10	14	8	0	15	23	7	2	3	7	7	22	7	7	7	9	15	4	14	5	22	8	6	5	5	3	10	10	16	6	15	15	1	7	10	2	9	1	10	9	5	10	4	1	1	9	10	5	5	0	4	5	1	4	2	5	1	2	3	2	7	1	2	0	1	10	0	9	2	4	4	2	4	2	4	4	1	2	2	0	8	3	5	3	5	0	6	6	6	6	1	0	0	0	0	4	0	3	1	2	1	0
qualities	60	34	22	11	18	18	11	21	18	18	11	18	36	15	9	15	10	19	13	4	42	9	13	12	13	0	0	3	18	4	18	4	1	9	2	5	1	1	4	0	9	5	1	15	0	12	4	73	2	3	4	11	3	4	7	8	8	2	4	0	11	3	6	0	0	2	5	5	14	4	27	27	2	1	5	0	5	1	6	5	3	6	2	0	0	2	2	1	1	0	3	1	0	3	1	1	0	4	2	2	7	1	2	0	1	8	101	7	3	1	1	3	1	1	1	3	1	0	0	0	4	1	0	1	0	0	5	5	8	8	0	1	0	0	0	3	0	4	0	3	2	0
shakespeare	88	131	82	59	63	49	59	92	49	49	56	1	102	1	42	46	30	77	21	81	71	44	21	62	21	18	18	28	27	22	27	22	20	19	13	4	4	4	4	3	5	5	9	23	12	0	7	7	10	8	7	129	8	7	6	12	16	6	2	0	34	12	3	5	5	5	7	7	23	4	12	12	0	3	20	1	7	1	12	7	5	12	2	0	0	8	2	2	2	8	3	2	6	3	0	2	6	8	1	7	10	9	0	0	9	16	0	12	8	2	1	8	2	5	1	5	7	2	2	0	2	0	1	0	1	0	2	2	17	17	0	0	0	0	0	9	0	11	1	5	2	0
clothing	41	28	22	13	9	13	13	12	13	13	12	16	52	11	6	4	10	16	8	11	35	24	4	19	4	1	1	15	20	8	20	8	0	5	2	9	5	5	8	1	9	10	7	7	4	7	0	0	4	3	57	5	3	57	9	0	2	6	5	0	2	2	2	5	5	4	5	5	4	7	3	3	1	1	1	2	2	2	8	2	1	8	5	1	1	7	6	3	3	0	1	3	1	1	6	3	1	6	2	4	1	2	2	5	2	1	1	0	0	4	3	0	4	1	3	1	3	2	2	0	2	0	0	0	0	5	3	3	1	1	0	1	1	0	0	0	0	1	2	2	2	0
inscriptions	64	106	45	74	26	41	74	40	41	41	72	8	52	7	7	9	27	21	22	37	7	19	18	4	18	10	10	3	5	19	5	19	6	3	4	2	1	1	4	2	0	2	8	2	73	7	0	0	1	2	0	7	2	0	0	3	4	4	0	1	5	0	0	2	2	4	0	0	2	2	0	0	0	0	0	2	1	1	0	1	0	0	2	2	2	3	0	0	0	4	0	0	1	0	0	0	1	16	0	1	0	1	0	0	1	1	73	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	1	0
trees	134	91	70	46	60	48	46	60	48	48	46	32	47	28	51	33	11	15	16	38	12	8	6	15	6	14	14	14	8	6	8	6	12	7	8	4	4	4	1	0	5	4	2	3	2	10	4	1	0	12	4	10	12	4	4	11	4	2	1	0	3	2	1	6	6	2	1	1	1	1	1	1	4	1	9	0	4	1	1	4	1	1	1	0	0	2	0	2	2	3	1	2	4	1	0	2	4	0	1	3	3	9	1	0	9	2	1	1	0	1	0	0	1	0	0	2	2	1	1	0	3	0	1	0	1	0	1	1	1	1	0	0	5	0	0	0	0	1	0	1	0	0
day	185	99	73	48	96	54	48	89	54	54	45	50	48	50	66	42	34	18	23	23	15	22	53	20	53	11	11	13	7	9	7	9	9	26	8	5	1	1	1	3	5	4	4	7	3	8	3	2	12	0	3	8	165	3	4	14	7	4	6	6	4	5	1	4	4	4	2	2	2	0	2	2	0	0	30	2	3	0	0	3	3	0	0	1	1	2	2	1	1	2	2	1	6	2	0	1	6	0	1	3	4	5	1	0	5	1	1	1	0	0	5	0	0	5	5	2	3	3	3	1	3	2	1	2	1	0	1	1	0	0	0	0	2	0	0	1	0	1	0	0	2	0
effects	41	28	22	13	9	13	13	12	13	13	12	16	52	11	6	4	10	16	8	11	35	24	4	19	4	1	1	15	20	8	20	8	0	5	2	9	5	5	8	1	9	10	7	7	4	7	57	0	4	3	0	5	3	57	9	0	2	6	5	0	2	2	2	5	5	4	5	5	4	7	3	3	1	1	1	2	2	2	8	2	1	8	5	1	1	7	6	3	3	0	1	3	1	1	6	3	1	6	2	4	1	2	2	5	2	1	1	0	0	4	3	0	4	1	3	1	3	2	2	0	2	0	0	0	0	5	3	3	1	1	0	1	1	0	0	0	0	1	2	2	2	0
literature	88	129	82	59	63	49	59	90	49	49	56	1	99	1	42	46	30	76	21	81	68	44	21	61	21	18	18	28	26	22	26	22	20	19	13	3	4	4	4	3	4	5	9	22	11	129	5	7	10	8	5	0	8	5	4	12	16	6	1	0	34	11	2	5	5	5	7	7	22	4	11	11	0	3	20	1	7	1	11	7	4	11	2	0	0	7	1	2	2	8	2	2	6	2	0	2	6	8	1	7	10	8	0	0	8	14	0	11	8	2	1	8	2	4	1	5	7	2	2	0	2	0	1	0	1	0	2	2	17	17	0	0	0	0	0	9	0	11	1	4	2	0
times	185	99	73	48	96	54	48	89	54	54	45	50	48	50	66	42	34	18	23	23	15	22	53	20	53	11	11	13	7	9	7	9	9	26	8	5	1	1	1	3	5	4	4	7	3	8	3	2	12	165	3	8	0	3	4	14	7	4	6	6	4	5	1	4	4	4	2	2	2	0	2	2	0	0	30	2	3	0	0	3	3	0	0	1	1	2	2	1	1	2	2	1	6	2	0	1	6	0	1	3	4	5	1	0	5	1	1	1	0	0	5	0	0	5	5	2	3	3	3	1	3	2	1	2	1	0	1	1	0	0	0	0	2	0	0	1	0	1	0	0	2	0
personal	41	28	22	13	9	13	13	12	13	13	12	16	52	11	6	4	10	16	8	11	35	24	4	19	4	1	1	15	20	8	20	8	0	5	2	9	5	5	8	1	9	10	7	7	4	7	57	0	4	3	57	5	3	0	9	0	2	6	5	0	2	2	2	5	5	4	5	5	4	7	3	3	1	1	1	2	2	2	8	2	1	8	5	1	1	7	6	3	3	0	1	3	1	1	6	3	1	6	2	4	1	2	2	5	2	1	1	0	0	4	3	0	4	1	3	1	3	2	2	0	2	0	0	0	0	5	3	3	1	1	0	1	1	0	0	0	0	1	2	2	2	0
arts	155	41	58	16	18	52	16	22	52	52	15	49	57	45	14	6	8	19	11	10	36	22	4	14	4	3	3	7	26	7	26	7	2	4	5	79	1	1	13	1	87	7	4	7	7	6	9	0	4	4	9	4	4	9	0	0	2	3	32	0	3	2	34	3	3	3	9	9	4	6	7	7	3	1	5	13	3	1	2	3	2	2	2	7	7	3	21	6	6	2	2	6	7	2	6	6	7	0	1	1	2	12	1	1	12	6	0	2	1	2	1	1	2	4	1	2	0	0	0	0	4	7	2	7	2	1	1	1	1	1	0	0	0	0	0	1	0	2	0	1	0	0
phenomena	93	61	39	31	81	28	31	49	28	28	26	22	37	20	54	106	29	25	15	17	26	15	11	23	11	11	11	10	8	6	8	6	5	7	1	0	4	4	2	5	0	3	2	9	8	12	0	3	11	14	0	12	14	0	0	0	8	3	1	1	14	3	0	1	1	2	4	4	7	2	6	6	1	1	4	0	0	0	6	0	2	6	0	0	0	0	1	0	0	3	2	0	1	2	1	0	1	0	1	0	3	1	0	0	1	4	2	3	0	0	4	0	0	3	4	0	0	2	2	0	0	1	0	1	0	0	0	0	6	6	0	0	4	0	0	3	0	4	1	0	2	0
